cluster_id,keyphrase,tf_score,bug_id,priority
64,win95 00 950,0.134,10037,P2
64,windows 98,0.067,6053,P2
65,usr,0.126,12939,P4
65,usr bin,0.126,12939,P4
66,mass reassign,0.141,5416,P4
66,mass changing,0.139,9673,P2
66,mass moving,0.1,11824,P4
66,mass moving,0.077,7297,P3
67,scrollable area,0.183,10026,P4
67,scroll,0.161,10026,P4
67,scrollbar,0.156,10026,P4
67,scroll,0.139,17165,P4
67,vertical scroll,0.123,17089,P4
67,scrollbar appears,0.108,10026,P4
67,scroll arrow,0.107,17089,P4
67,vertical scroll bar,0.107,17089,P4
67,scrollbar,0.103,21827,P5
67,scroll bar,0.101,17092,P4
67,scroll,0.093,21827,P5
67,horizontal scroll,0.087,17092,P4
67,horizontal scroll bar,0.087,17092,P4
67,vertical scroll arrow,0.086,17089,P4
67,scroll arrows,0.086,17089,P4
67,scrollable,0.081,27771,P5
67,scrolling,0.071,27771,P5
67,scroll,0.07,27771,P5
68,installer screen,0.172,5148,P3
68,installer,0.148,15853,P4
68,install,0.101,10205,P2
68,installer,0.095,5107,P3
68,installation,0.092,12939,P4
68,install,0.084,10180,P2
69,decoration,0.083,24125,P5
69,text decoration,0.073,6625,P2
70,tostring,0.167,9589,P2
70,nsstring,0.12,11557,P5
71,code ns precondition nsnull,0.093,10261,P1
71,offending code ns precondition,0.093,10261,P1
71,precondition nsnull aview,0.093,10261,P1
72,browser,0.178,7252,P3
72,chrome,0.124,11824,P4
72,firefox,0.05,9458,P1
73,exit,0.223,10321,P2
73,exit,0.213,35,P3
73,exit menu,0.161,10321,P2
73,exits,0.139,35,P3
73,exit,0.056,7799,P1
74,getfolder,0.133,5579,P2
74,folder,0.116,5579,P2
74,getfolder,0.1,5577,P2
74,folder,0.086,6873,P1
74,folder,0.058,4252,P3
75,implemented,0.091,15853,P4
75,feature implement,0.089,15853,P4
76,xpi,0.144,10205,P2
76,xpidl,0.121,13423,P4
76,xpidl,0.097,13424,P5
77,block,0.121,3246,P3
77,blocker,0.118,10158,P1
77,block code,0.077,10207,P2
77,block,0.055,2056,P3
77,block level,0.054,9458,P1
78,interfaces,0.098,13424,P5
78,components interfaces,0.096,21081,P5
78,interface names,0.091,13424,P5
79,iso,0.104,7640,P2
79,iso jp,0.09,7640,P2
80,image map,0.101,8131,P2
80,image maps,0.082,8131,P2
80,imagemap,0.066,8131,P2
80,bitmap,0.042,4821,P1
81,charset,0.111,7640,P2
81,charset,0.102,5579,P2
81,char,0.102,9589,P2
81,character set,0.094,7640,P2
81,mail charset,0.09,7640,P2
82,foreground,0.244,15286,P4
82,background,0.168,15286,P4
82,background color,0.155,15286,P4
82,foreground background,0.152,15286,P4
82,white background,0.13,13831,P4
82,background,0.078,12752,P5
83,copied,0.098,13068,P4
83,clone,0.059,18808,P5
83,cloned,0.058,18808,P5
84,autoconfig,0.176,10276,P1
84,autoconfig rick,0.074,10276,P1
84,1w autoconfig rick 1w,0.074,10276,P1
84,rick 1w autoconfig rick,0.074,10276,P1
85,window launches,0.147,6565,P3
85,window does open,0.126,10217,P1
85,application window,0.105,2652,P2
85,window open,0.039,18808,P5
86,predefined,0.077,23207,P5
86,prerendered,0.064,12752,P5
87,bar,0.11,8705,P2
87,bar disappearance,0.087,17092,P4
88,reg expand,0.175,10190,P2
88,example reg,0.103,10190,P2
88,example reg expand,0.103,10190,P2
89,win32 nt4,0.09,7568,P1
89,16 win32,0.079,10037,P2
90,19mdk,0.202,7378,P3
90,19mdk i586,0.202,7378,P3
90,19mdk i586 entered,0.119,7378,P3
91,exits file,0.139,35,P3
91,file exit causing memory,0.139,35,P3
91,exits file exit causing,0.139,35,P3
92,sensitive,0.103,1021,P1
92,sensitive change,0.085,1021,P1
93,issue add ui components,0.139,10188,P2
93,components issue add ui,0.139,10188,P2
93,components issue,0.12,10140,P1
93,components issue,0.092,12939,P4
94,navigator,0.15,35,P3
94,navigator window,0.097,2652,P2
94,navigator window,0.041,18808,P5
95,touch delegate,0.138,10180,P2
95,remove touch,0.138,10180,P2
95,remove touch delegate,0.138,10180,P2
96,08 m13,0.152,10205,P2
96,win 08 m13 mac,0.108,10205,P2
96,m13 win 08 m13,0.108,10205,P2
96,09 m13 win,0.108,10205,P2
96,m13 mac 08 m13,0.108,10205,P2
96,08 m13 mac 08,0.108,10205,P2
96,09 m13 win 08,0.108,10205,P2
96,m11,0.101,15731,P4
96,minor m11,0.098,5563,P3
96,m13,0.097,8705,P2
97,nsfilespec,0.141,11557,P5
97,nsfilespec,0.138,5107,P3
97,nsregisterself,0.103,13424,P5
98,plevent,0.108,5577,P2
98,plevent line,0.108,5577,P2
99,alt,0.197,24126,P5
99,alt text,0.19,24126,P5
99,alt,0.117,24125,P5
99,alt text,0.108,8131,P2
99,alt title,0.101,24125,P5
99,altifier,0.096,24125,P5
99,set alt,0.077,24125,P5
100,nswinreg,0.247,10190,P2
100,nswidget,0.14,10016,P1
100,nswidget,0.051,7799,P1
101,related links,0.389,10014,P1
101,related links folder,0.276,10014,P1
101,related links folder does,0.163,10014,P1
102,interaction param,0.147,11444,P4
102,user interaction param,0.147,11444,P4
102,interaction,0.113,18287,P5
103,compact,0.139,2055,P5
103,display compact,0.111,2055,P5
104,bij browser,0.089,6117,P1
104,cck mcd bij browser,0.089,6117,P1
105,specific features,0.066,4252,P3
105,mac specific features,0.066,4252,P3
106,opportunity,0.053,9101,P2
106,break opportunity,0.052,9101,P2
107,cde,0.147,16959,P5
107,cdata,0.138,4267,P3
108,archives animating,0.088,18287,P5
108,animation,0.08,12761,P4
108,animations,0.064,12761,P4
109,close,0.139,7252,P3
109,lets close,0.095,7189,P3
110,save,0.177,11444,P4
110,saved,0.111,9041,P1
110,previously saved,0.1,9041,P1
110,save,0.08,9897,P2
111,bit characters,0.107,5579,P2
111,byte,0.062,8427,P2
112,icon changes,0.163,10014,P1
112,icon,0.132,11427,P4
112,icons,0.06,12761,P4
113,dialog machines,0.126,10217,P1
113,dialog boxes,0.124,10050,P2
113,pretty dialog boxes,0.124,10050,P2
113,dialog,0.105,9041,P1
113,dialog,0.081,9897,P2
113,boxes appear pretty dialog,0.073,10050,P2
113,appear pretty dialog boxes,0.073,10050,P2
114,button does,0.244,10217,P1
114,button,0.157,11444,P4
114,buttons,0.154,21827,P5
114,right buttons,0.149,21827,P5
115,apprunner optimized,0.13,13831,P4
115,latest apprunner,0.117,6515,P3
115,apprunner,0.108,11427,P4
115,macos86 apprunner,0.099,11427,P4
115,linux6 apprunner,0.099,11427,P4
115,inside apprunner,0.095,5247,P3
115,apprunner crashes,0.093,10342,P2
116,server,0.168,10014,P1
116,related server,0.163,10014,P1
116,server,0.143,10253,P1
116,server,0.073,7568,P1
116,servers,0.062,2875,P3
117,fields,0.111,8014,P1
117,form fields,0.104,8014,P1
117,custom field,0.052,9412,P1
117,custom fields,0.049,9412,P1
118,res rdf,0.138,10341,P1
118,rdf flash xul res,0.089,10341,P1
118,dtds res rdf,0.089,10341,P1
118,dtds res rdf flash,0.089,10341,P1
118,flash xul res rdf,0.089,10341,P1
119,defect,0.075,9412,P1
119,defects,0.049,9412,P1
120,applies equally,0.132,15436,P4
120,applies,0.077,11824,P4
121,gnksa,0.164,12699,P5
121,gnska,0.106,12699,P5
122,focus issues,0.113,8014,P1
122,focus,0.112,1859,P5
122,focus,0.106,6565,P3
123,white text,0.162,13831,P4
123,white text does,0.105,13831,P4
123,white text selected,0.105,13831,P4
124,event handlers,0.167,10158,P1
124,handler,0.095,2652,P2
125,floater,0.242,13827,P5
125,floaters,0.155,13827,P5
126,compose window,0.191,6565,P3
126,compose window launches,0.147,6565,P3
126,rh compose window launches,0.087,6565,P3
126,compose window begin,0.087,6565,P3
127,verbage,0.224,15083,P4
127,depending verbage,0.132,15083,P4
128,spec,0.107,15853,P4
128,01 spec,0.077,24125,P5
129,appcores,0.318,7439,P3
129,change appcores,0.182,7439,P3
129,converting appcores,0.108,7439,P3
